STATE/UT,CRIME HEAD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,RAPE,599,688,763,827,854,856,812,947,869,895,944,871,1002,946,1016,935,1049,1070,1257,1188,1362,1442,1341,1635,1940,2132,2272
Arunachal Pradesh,RAPE,18,32,25,29,28,25,37,43,32,39,36,33,38,31,42,35,37,48,42,59,47,42,46,75,83,71,92
Assam,RAPE,423,427,442,508,441,588,580,717,744,703,762,817,970,1095,1171,1238,1244,1437,1438,1631,1721,1700,1716,1937,1980,1733,1779
Bihar,RAPE,731,633,1019,775,823,1312,1453,1457,1421,1447,1570,888,1040,985,1390,1147,1232,1555,1302,929,795,934,927,1128,1127,1041,1008
Chhattisgarh,RAPE,0,0,0,0,0,0,0,0,0,0,0,959,992,898,969,990,995,982,978,976,1012,1053,1034,1380,1436,1560,1626
Goa,RAPE,10,18,12,13,7,19,10,15,16,18,21,12,12,31,37,20,21,20,30,47,36,29,55,86,95,86,61
Gujarat,RAPE,232,253,285,266,290,309,36,375,368,331,330,286,267,236,339,324,354,316,374,433,408,439,473,732,841,503,982
Haryana,RAPE,131,134,215,189,198,311,336,373,364,372,421,398,361,353,386,461,608,488,631,603,720,733,668,971,1174,1070,1187
Himachal Pradesh,RAPE,54,91,83,87,110,116,132,129,128,109,129,124,137,126,153,141,113,159,157,183,160,168,183,250,283,244,252
Jammu & Kashmir,RAPE,118,124,123,136,123,109,157,166,178,170,183,169,192,211,218,201,250,288,219,237,245,277,303,378,331,296,256
Jharkhand,RAPE,0,0,0,0,0,0,0,0,0,0,0,567,797,712,797,753,799,855,791,719,773,784,812,1204,1050,1053,1109
Karnataka,RAPE,159,177,150,220,279,263,222,244,233,301,281,293,292,321,291,343,400,436,446,509,586,636,621,1030,1324,589,1655
Kerala,RAPE,174,203,212,168,193,266,389,588,589,423,552,562,499,394,480,478,601,512,568,568,634,1132,1019,1221,1347,1256,1656
Madhya Pradesh,RAPE,2302,2532,2658,2486,2801,3119,3265,3518,3354,3561,3737,2851,2891,2738,2875,2921,2900,3010,2937,2998,3135,3406,3425,4335,5076,4391,4882
Maharashtra,RAPE,859,885,961,1107,1275,1362,1444,1246,1154,1320,1310,1302,1352,1268,1388,1545,1500,1451,1558,1483,1599,1701,1839,3063,3438,4144,4189
Manipur,RAPE,14,13,17,5,6,12,14,9,13,12,8,20,14,18,31,25,40,20,38,31,34,53,63,72,75,46,55
Meghalaya,RAPE,29,27,25,21,32,17,33,37,42,27,35,26,38,40,54,63,74,82,88,112,149,130,164,183,118,93,190
Mizoram,RAPE,63,44,34,32,37,41,49,52,84,71,58,52,76,54,20,37,72,83,77,83,92,77,103,89,120,58,23
Nagaland,RAPE,1,1,1,0,1,16,9,17,13,11,14,17,17,14,18,17,23,13,19,22,16,23,21,31,30,35,26
Odisha,RAPE,239,285,302,372,364,553,617,679,679,820,747,790,691,725,770,799,985,939,1113,1023,1025,1112,1458,1832,1978,2251,1983
Punjab,RAPE,57,59,61,87,108,96,178,184,219,282,334,298,299,380,390,398,442,519,517,511,546,479,680,888,981,886,838
Rajasthan,RAPE,740,803,818,890,1002,1036,1162,1255,1266,1198,1242,1049,1051,1050,1038,993,1085,1238,1355,1519,1571,1800,2049,3285,3759,3644,3656
Sikkim,RAPE,3,9,11,4,8,3,9,7,7,7,6,8,6,10,3,18,20,24,20,18,18,16,34,43,47,5,92
Tamil Nadu,RAPE,243,250,232,186,265,268,327,324,362,430,538,423,534,557,618,571,457,523,573,596,686,677,737,923,455,421,319
Tripura,RAPE,74,57,73,69,61,75,90,98,73,72,86,102,108,114,160,162,189,157,204,190,238,205,229,233,239,213,207
Uttar Pradesh,RAPE,1524,1400,1735,1754,2021,1808,1854,1457,1605,1593,1865,1958,1415,911,1397,1217,1314,1648,1871,1759,1563,2042,1963,3050,3467,3025,4816
Uttarakhand,RAPE,0,0,0,0,0,0,0,0,0,0,0,74,89,107,115,133,147,117,87,111,121,129,148,228,270,283,336
West Bengal,RAPE,543,461,615,740,743,787,855,824,757,819,814,709,759,1002,1475,1686,1731,2106,2263,2336,2311,2363,2046,1685,1466,1199,1110
A&N Islands,RAPE,3,3,5,3,4,5,7,9,4,6,5,3,2,2,10,4,6,3,12,18,24,13,12,27,32,36,30
Chandigarh,RAPE,11,7,15,4,9,5,9,9,11,16,23,18,18,18,19,33,19,22,20,29,31,27,27,45,59,72,68
D&N Haveli,RAPE,3,4,1,0,2,1,3,2,7,3,3,6,4,1,7,5,6,7,6,4,3,4,3,5,5,8,14
Daman & Diu,RAPE,1,1,1,1,0,2,1,1,0,4,1,0,0,5,1,2,3,1,0,1,1,1,5,8,2,5,12
Delhi UT,RAPE,150,161,215,255,261,372,484,544,438,402,435,381,403,490,551,658,623,598,466,469,507,572,706,1636,2096,2199,2155
Lakshadweep,RAPE,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,2,1,0,0,0,2,1,0,5
Puducherry,RAPE,10,11,3,8,5,2,2,4,1,6,5,9,6,2,4,6,9,9,8,1,3,7,13,17,10,3,6
INDIA,RAPE,9518,9793,11112,11242,12351,13754,14846,15330,15031,15468,16496,16075,16373,15847,18233,18359,19348,20737,21467,21397,22172,24206,24923,33707,36735,34651,38947
Andhra Pradesh,KIDNAPPING & ABDUCTION,547,535,531,530,571,676,682,730,738,708,716,765,854,931,1030,995,1329,1564,1396,1526,1531,1612,1403,1595,1432,1332,1613
Arunachal Pradesh,KIDNAPPING & ABDUCTION,29,30,27,7,25,31,35,23,38,40,42,55,38,51,41,39,51,44,47,28,46,60,58,86,91,128,85
Assam,KIDNAPPING & ABDUCTION,650,819,611,604,600,1119,984,1113,1117,1149,1101,1070,1276,1351,1552,1456,1544,1471,1789,2092,2767,3192,3360,4222,3895,5039,5339
Bihar,KIDNAPPING & ABDUCTION,419,413,267,273,524,832,1003,968,1043,939,700,518,744,674,997,929,1084,1260,1789,1986,2569,3050,3789,4419,4735,5158,5496
Chhattisgarh,KIDNAPPING & ABDUCTION,0,0,0,0,0,0,0,0,0,0,0,171,154,149,174,184,178,181,216,229,279,365,350,1881,1393,1354,1447
Goa,KIDNAPPING & ABDUCTION,19,13,13,18,9,14,9,5,14,7,7,6,5,13,10,12,10,7,28,22,18,17,16,70,86,70,69
Gujarat,KIDNAPPING & ABDUCTION,718,670,575,515,620,974,846,973,1182,1074,868,857,807,859,905,916,945,1089,1119,1162,1290,1442,1527,2230,2187,1569,2146
Haryana,KIDNAPPING & ABDUCTION,131,158,228,180,240,297,307,291,318,350,299,297,290,271,292,344,431,554,644,659,714,733,900,1957,1922,2336,2697
Himachal Pradesh,KIDNAPPING & ABDUCTION,124,150,147,185,178,125,125,130,115,89,95,105,116,96,99,102,109,150,137,122,162,191,152,290,227,239,201
Jammu & Kashmir,KIDNAPPING & ABDUCTION,325,415,359,356,316,287,474,588,629,473,566,504,596,615,632,658,723,707,656,825,840,1023,1041,949,813,1071,774
Jharkhand,KIDNAPPING & ABDUCTION,0,0,0,0,0,0,0,0,0,0,0,279,178,262,178,283,410,534,499,517,696,660,786,926,885,930,693
Karnataka,KIDNAPPING & ABDUCTION,262,264,259,276,320,301,193,358,312,320,323,271,300,244,286,312,328,390,405,408,586,715,1070,1359,1457,1611,1923
Kerala,KIDNAPPING & ABDUCTION,113,75,72,145,105,110,149,160,130,123,89,97,91,102,142,129,202,177,166,173,184,221,214,185,143,192,166
Madhya Pradesh,KIDNAPPING & ABDUCTION,1271,1219,1052,904,971,1028,960,941,925,942,869,668,639,608,584,604,617,701,736,841,1030,1088,1127,2873,5688,4547,4904
Maharashtra,KIDNAPPING & ABDUCTION,898,904,965,903,912,782,732,820,772,727,662,611,650,626,787,851,921,967,998,926,1124,1252,1140,1874,2457,5096,6170
Manipur,KIDNAPPING & ABDUCTION,84,81,111,71,67,64,59,62,60,38,44,62,82,71,71,69,79,83,87,97,107,116,133,125,121,94,95
Meghalaya,KIDNAPPING & ABDUCTION,7,5,2,2,14,8,13,16,16,10,13,11,10,10,18,19,25,22,25,26,37,37,24,33,38,58,51
Mizoram,KIDNAPPING & ABDUCTION,3,1,0,2,8,0,0,0,4,0,3,1,2,2,0,0,1,0,1,0,0,0,3,2,3,8,3
Nagaland,KIDNAPPING & ABDUCTION,3,1,0,1,2,11,27,21,14,5,4,6,4,3,4,9,3,6,7,10,6,3,10,11,13,30,50
Odisha,KIDNAPPING & ABDUCTION,187,172,202,274,221,463,451,514,514,431,359,434,432,373,423,547,577,660,762,799,912,1008,1364,2067,2436,2587,2291
Punjab,KIDNAPPING & ABDUCTION,99,117,101,108,112,140,166,171,222,280,292,324,354,295,311,329,418,545,514,513,576,517,689,987,1176,1253,1208
Rajasthan,KIDNAPPING & ABDUCTION,2044,2217,2434,2303,2276,2579,2485,2409,2499,2652,2550,2165,2019,1750,1881,1549,1553,1694,1863,2310,2477,2713,2697,4047,4421,4167,4010
Sikkim,KIDNAPPING & ABDUCTION,2,3,6,6,4,4,8,9,4,0,1,2,2,0,4,2,7,9,4,6,6,10,10,16,12,21,12
Tamil Nadu,KIDNAPPING & ABDUCTION,414,513,467,330,441,661,858,989,993,1000,805,607,714,632,692,783,718,1097,1160,1133,1464,1743,1693,1516,1502,1335,1043
Tripura,KIDNAPPING & ABDUCTION,66,68,55,51,32,40,43,56,39,27,40,35,48,29,54,43,62,81,110,92,91,116,114,124,102,120,119
Uttar Pradesh,KIDNAPPING & ABDUCTION,2124,2330,2218,2403,2860,2337,2501,2460,2882,2746,2755,2879,2298,1499,2324,2256,2551,3363,4439,5078,5468,7525,7910,9737,10626,10135,12994
Uttarakhand,KIDNAPPING & ABDUCTION,0,0,0,0,0,0,0,0,0,0,0,126,155,134,127,125,183,227,222,247,249,283,256,633,275,336,377
West Bengal,KIDNAPPING & ABDUCTION,458,451,631,709,773,811,786,853,783,804,749,695,694,801,1018,1039,1199,1590,1907,2187,2764,3711,4168,3830,4976,3938,4494
A&N Islands,KIDNAPPING & ABDUCTION,9,8,2,4,4,4,2,1,2,2,3,2,1,2,3,1,5,9,13,14,8,12,7,12,17,21,21
Chandigarh,KIDNAPPING & ABDUCTION,21,14,19,27,41,26,26,25,31,36,52,50,47,28,43,45,57,46,42,36,28,46,66,174,133,165,112
D&N Haveli,KIDNAPPING & ABDUCTION,4,1,1,2,5,5,3,3,2,0,7,2,5,4,7,9,14,6,11,9,10,8,9,11,7,9,5
Daman & Diu,KIDNAPPING & ABDUCTION,0,2,1,1,0,0,2,0,0,2,3,3,2,1,0,2,1,1,1,0,2,2,0,6,1,13,9
Delhi UT,KIDNAPPING & ABDUCTION,663,644,709,641,741,330,925,925,978,986,998,964,893,797,881,1106,1066,1167,1136,1655,1740,2085,2160,3609,4034,4301,3891
Lakshadweep,KIDNAPPING & ABDUCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Puducherry,KIDNAPPING & ABDUCTION,5,7,12,6,6,4,5,3,5,2,8,3,6,13,8,3,13,14,9,13,14,9,16,25,7,14,11
INDIA,KIDNAPPING & ABDUCTION,11699,12300,12077,11837,12998,14063,14877,15617,16381,15962,15023,14645,14506,13296,15578,15750,17414,20416,22939,25741,29795,35565,38262,51881,57311,59277,64519
Andhra Pradesh,DOWRY DEATH,344,411,424,575,396,362,411,520,500,452,442,420,449,466,512,443,519,613,556,546,588,599,504,492,504,436,447
Arunachal Pradesh,DOWRY DEATH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
Assam,DOWRY DEATH,24,14,11,19,13,44,28,22,32,40,50,59,70,60,74,99,105,100,103,170,175,121,140,170,188,216,157
Bihar,DOWRY DEATH,243,263,170,338,296,383,478,761,1039,1021,1085,859,927,909,1029,1014,1188,1172,1210,1295,1257,1413,1275,1182,1373,1154,987
Chhattisgarh,DOWRY DEATH,0,0,0,0,0,0,0,0,0,0,0,70,85,79,71,100,103,100,106,128,115,104,81,109,128,89,84
Goa,DOWRY DEATH,0,0,1,2,0,2,1,3,3,2,2,2,2,2,2,2,0,2,2,3,1,1,0,0,0,0,2
Gujarat,DOWRY DEATH,125,103,123,114,105,61,105,87,90,94,93,67,62,54,58,48,50,42,27,24,19,30,21,29,23,12,12
Haryana,DOWRY DEATH,126,144,209,166,191,218,223,267,309,288,263,285,256,222,251,212,255,269,302,281,284,255,258,263,293,243,260
Himachal Pradesh,DOWRY DEATH,21,30,18,18,4,6,6,12,7,5,4,10,6,6,8,2,3,8,3,1,2,4,2,0,1,2,3
Jammu & Kashmir,DOWRY DEATH,8,9,30,20,1,5,0,12,9,6,10,13,18,10,9,5,10,9,21,12,9,11,8,7,5,6,6
Jharkhand,DOWRY DEATH,0,0,0,0,0,0,0,0,0,0,0,217,275,262,275,257,281,303,266,295,276,282,302,307,350,267,278
Karnataka,DOWRY DEATH,216,227,209,266,170,202,182,195,200,217,217,220,233,194,259,261,244,251,259,264,248,267,218,277,313,254,234
Kerala,DOWRY DEATH,11,13,18,10,9,21,25,25,21,31,25,27,17,33,31,21,25,27,31,20,22,15,32,21,28,8,25
Madhya Pradesh,DOWRY DEATH,397,423,353,370,354,417,577,550,598,584,685,609,674,648,751,739,764,742,805,858,892,811,743,776,733,664,629
Maharashtra,DOWRY DEATH,858,828,727,746,519,471,443,420,420,395,371,308,303,368,314,341,387,436,390,341,393,339,329,320,279,268,248
Manipur,DOWRY DEATH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Meghalaya,DOWRY DEATH,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2,1,6,2,2,0,0,1,1,2,1,1,0
Mizoram,DOWRY DEATH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Nagaland,DOWRY DEATH,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Odisha,DOWRY DEATH,64,63,152,254,169,196,178,240,240,234,276,294,248,279,319,334,457,461,401,384,388,465,525,395,441,356,397
Punjab,DOWRY DEATH,103,99,101,147,117,130,180,185,219,193,199,159,166,110,113,99,130,133,128,126,121,143,118,126,90,85,80
Rajasthan,DOWRY DEATH,166,152,250,369,298,369,349,356,433,443,429,376,399,389,379,361,394,439,439,436,462,514,478,453,408,463,462
Sikkim,DOWRY DEATH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Tamil Nadu,DOWRY DEATH,86,97,75,79,83,94,112,153,176,197,191,191,243,220,225,215,187,208,207,194,165,152,110,118,95,65,58
Tripura,DOWRY DEATH,5,7,3,5,6,7,19,9,10,17,16,16,16,20,20,34,35,36,16,29,25,30,37,29,33,28,19
Uttar Pradesh,DOWRY DEATH,1516,1597,1783,1952,1977,1850,1983,1786,2229,2088,2222,2211,1893,1322,1708,1564,1798,2076,2237,2232,2217,2322,2244,2335,2469,2335,2473
Uttarakhand,DOWRY DEATH,0,0,0,0,0,0,0,0,0,0,0,56,66,93,82,63,80,70,73,94,75,83,71,43,38,54,57
West Bengal,DOWRY DEATH,420,538,174,256,85,89,77,247,249,257,284,265,273,329,396,446,445,451,451,506,507,510,593,481,501,498,535
A&N Islands,DOWRY DEATH,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,1,3,0,0
Chandigarh,DOWRY DEATH,0,2,1,3,3,1,2,4,5,7,2,3,1,1,6,3,10,1,3,2,5,2,5,1,2,5,4
D&N Haveli,DOWRY DEATH,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Daman & Diu,DOWRY DEATH,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Delhi UT,DOWRY DEATH,102,133,121,107,132,160,132,148,126,122,125,113,135,130,126,114,137,138,129,141,143,142,134,144,153,122,162
Lakshadweep,DOWRY DEATH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,DOWRY DEATH,0,4,6,0,4,3,1,2,1,4,3,1,5,1,6,4,3,2,2,0,1,1,0,1,1,1,0
INDIA,DOWRY DEATH,4836,5157,4962,5817,4935,5092,5513,6006,6917,6699,6995,6851,6822,6208,7026,6787,7618,8093,8172,8383,8391,8618,8233,8083,8455,7634,7621
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1721,1736,1773,1899,2185,2677,2559,2899,2967,3238,3231,3544,3799,4128,3817,3595,4534,4406,4730,5147,4634,4849,4816,6930,7735,8224,8596
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,40,33,36,20,28,11,29,37,46,65,53,78,68,43,61,67,63,72,72,58,84,51,67,93,121,101,109
Assam,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,192,190,113,146,184,572,569,686,648,720,777,850,984,878,883,899,1290,789,1272,1342,1400,1193,1840,2409,3099,4293,3378
Bihar,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,317,209,151,145,432,563,533,612,432,547,456,562,621,688,704,451,530,853,999,726,534,790,118,331,572,198,324
Chhattisgarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,0,0,0,0,0,0,0,0,0,0,1763,1483,1481,1661,1450,1598,1549,1621,1598,1706,1654,1601,2261,2122,1868,1770
Goa,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,26,28,37,27,21,27,17,15,22,26,20,17,18,19,23,30,18,20,32,37,36,29,49,162,202,150,143
Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,802,907,852,850,1017,1042,1077,1077,1210,1083,944,756,750,722,757,802,736,822,828,727,668,685,745,1243,1352,1164,1224
Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,186,213,306,276,356,483,529,546,611,553,605,478,454,344,403,380,486,417,435,451,476,474,525,1560,1688,1886,1860
Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,194,242,233,257,286,296,295,288,283,297,288,310,326,250,284,286,275,322,295,318,350,331,250,493,538,434,410
Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,327,282,209,185,237,235,376,425,516,507,480,622,785,875,990,830,960,986,935,972,1038,1194,1322,1389,1421,1343,1235
Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,0,0,0,0,0,0,0,0,0,0,297,411,424,411,293,414,342,271,276,245,317,284,524,440,844,667
Karnataka,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,806,852,884,930,1159,1356,1310,1405,1340,1501,1568,1665,1648,1585,1435,1585,1683,1828,1954,2186,2544,2608,2978,3913,5263,5112,5260
Kerala,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,685,580,553,468,679,810,1166,1561,1773,1643,1695,1942,2123,1947,2260,2339,2543,2624,2745,2540,2936,3756,3735,4362,4367,3987,4029
Madhya Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6300,6916,6291,5572,6362,7355,6838,7822,7310,8054,8516,7063,7118,6848,6690,6426,6243,6772,6445,6307,6646,6665,6655,8252,9609,8049,8717
Maharashtra,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2782,2635,2778,2996,3007,3475,3227,3131,2923,2766,2805,2823,2686,2661,2831,3228,3479,3306,3619,3196,3661,3794,3935,8132,10001,11713,11396
Manipur,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,28,47,20,30,8,24,19,13,13,13,18,21,58,44,30,25,42,70,57,39,31,38,49,59,98,84,65
Meghalaya,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7,17,13,19,11,14,24,29,12,17,8,25,23,13,34,44,57,45,54,72,48,74,43,98,105,95,68
Mizoram,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,39,45,52,44,32,59,54,56,53,74,70,52,73,88,66,49,51,66,78,61,75,72,85,81,97,75,71
Nagaland,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,1,1,0,1,0,4,5,4,3,2,6,1,4,3,7,3,8,15,11,13,9,16,18,16,8,14
Odisha,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,614,722,799,910,955,1446,1690,1586,1586,1494,1658,1655,1605,1669,1811,2238,2415,2775,2782,2697,2905,3207,4187,4618,5543,6499,8252
Punjab,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,45,16,17,15,60,73,129,158,150,198,340,372,341,346,261,308,314,427,388,319,349,282,340,1045,1113,1123,1025
Rajasthan,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1412,1430,1740,1587,1505,2121,2583,2815,2908,3109,3092,2878,2730,2715,2825,2503,2582,2477,2520,2485,2339,2447,2352,4829,5999,4813,4839
Sikkim,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,5,8,12,18,31,37,47,32,22,21,0,0,17,25,40,38,14,13,19,10,11,24,19,29,34,21,34
Tamil Nadu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,593,676,635,680,935,1212,1253,1461,1779,1959,1948,1773,1877,2022,1861,1764,1179,1540,1705,1242,1405,1467,1494,1271,1102,1163,854
Tripura,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,145,82,122,100,95,80,94,93,73,71,59,58,128,127,134,161,207,244,346,384,376,294,314,407,492,352,214
