STATE/UT,CRIME HEAD,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Chandigarh,BUYING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,BUYING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,BUYING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,BUYING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,9,1,2,0,0,0,0,1,0,0,0,1
Lakshadweep,BUYING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,BUYING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIA,BUYING OF GIRLS FOR PROSTITUTION,4,19,22,13,13,5,53,6,9,24,21,28,35,40,30,32,78,27,15,6,14,11,7
Andhra Pradesh,SELLING OF GIRLS FOR PROSTITUTION,8,0,0,0,0,0,3,0,0,1,0,2,6,11,2,1,3,2,4,2,1,0,1
Arunachal Pradesh,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,SELLING OF GIRLS FOR PROSTITUTION,2,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,3,0,0,0,0,0,31
Bihar,SELLING OF GIRLS FOR PROSTITUTION,5,2,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,10,3,2,0,0
Chhattisgarh,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0
Goa,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
Haryana,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,2,0,2,0,2,0
Himachal Pradesh,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,5,0,0,0
Karnataka,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0
Kerala,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,SELLING OF GIRLS FOR PROSTITUTION,1,1,0,1,0,0,1,0,1,25,0,0,0,2,4,1,2,3,5,3,1,5,8
Maharashtra,SELLING OF GIRLS FOR PROSTITUTION,1,2,0,1,1,3,5,1,1,3,3,1,1,0,1,2,1,2,2,13,4,1,3
Manipur,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nagaland,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
Rajasthan,SELLING OF GIRLS FOR PROSTITUTION,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0
Sikkim,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,18,0,0,4,9
Uttarakhand,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,SELLING OF GIRLS FOR PROSTITUTION,1,12,4,5,5,7,4,2,1,6,12,44,114,55,41,49,115,87,56,69,67,91,67
A&N Islands,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,SELLING OF GIRLS FOR PROSTITUTION,15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,4,2,4,0,4,6,2
Lakshadweep,SELLING OF GIRLS FOR PROSTITUTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,SELLING OF GIRLS FOR PROSTITUTION,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIA,SELLING OF GIRLS FOR PROSTITUTION,34,17,6,9,11,13,15,8,5,36,19,50,123,69,49,57,130,113,108,100,82,111,122
Andhra Pradesh,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,3,1,0,1,1,7,6,6,4,4,9,17,21,19,0,0,15,29,16,29,30,38
Arunachal Pradesh,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,4,14,23
Bihar,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",9,3,0,23,5,3,1,2,1,0,3,4,2,8,8,0,8,0,16,1,10,0,0
Chhattisgarh,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,26,6,14,3,5,4,5,2,2,5,2,1,2,6,8
Goa,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gujarat,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",20,21,60,29,30,31,31,11,38,11,30,25,12,14,23,0,14,13,14,12,16,9,12
Haryana,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",2,1,0,0,3,2,2,0,1,3,2,7,7,4,4,0,0,6,11,17,15,14,14
Himachal Pradesh,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",5,8,4,6,4,7,4,0,3,1,2,3,1,1,2,0,5,0,0,2,4,1,0
Jammu & Kashmir,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,1,4
Karnataka,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",1,0,0,1,2,0,2,3,1,2,1,3,6,4,9,3,8,12,20,26,44,35,51
Kerala,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",3,2,4,4,1,2,1,3,6,0,1,3,1,1,4,0,6,3,6,11,19,13,8
Madhya Pradesh,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",3,1,3,0,1,0,3,4,2,3,2,18,4,5,2,0,4,5,3,6,15,9,9
Maharashtra,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",5,9,4,0,0,2,33,43,18,16,14,22,15,7,5,0,4,19,6,16,14,24,16
Manipur,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0
Mizoram,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,1,1,0,0,1,15
Punjab,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,1,1,2,2,2,0,1,2,2,11,9,5,6,0,0,0,0,0,2,5,8
Rajasthan,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",3,9,9,10,5,6,4,10,7,6,2,3,1,3,3,0,2,5,10,5,5,6,12
Sikkim,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,2,1,0,0,0,0,0,3,5,4,6,2,4,0,0,0,0,56,47,77,55
Tripura,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,2,1
Uttar Pradesh,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",1,0,0,1,0,1,0,1,2,4,1,4,0,0,0,0,5,4,5,5,10,4,3
Uttarakhand,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
West Bengal,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,0,1,8,2,6,9,6,0,0,25,43,43,37,40,41
A&N Islands,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Chandigarh,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,0,1
Lakshadweep,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,5
INDIA,"PROHIBITION OF CHILD MARRIAGE ACT, 2006",53,57,89,78,56,58,92,85,113,63,93,122,99,96,104,5,60,113,169,222,280,293,326
Andhra Pradesh,TOTAL CRIMES AGAINST CHILDREN,427,398,314,365,340,271,333,270,333,1463,1328,950,1386,1499,1321,1719,1823,2213,2274,2576,3989,5112,4756
Arunachal Pradesh,TOTAL CRIMES AGAINST CHILDREN,17,3,14,29,10,15,22,0,6,18,22,22,27,4,24,33,20,35,39,82,134,202,133
Assam,TOTAL CRIMES AGAINST CHILDREN,176,167,148,195,223,162,126,18,14,19,21,199,252,167,183,44,197,236,392,518,1385,2855,3964
Bihar,TOTAL CRIMES AGAINST CHILDREN,396,459,348,368,368,205,178,83,57,56,59,115,66,675,766,1016,1843,2233,2894,1580,2255,2010,3932
Chhattisgarh,TOTAL CRIMES AGAINST CHILDREN,0,0,0,0,0,0,0,585,733,614,940,997,1238,1024,1167,1321,1463,1782,1881,3737,4358,4567,4746
Goa,TOTAL CRIMES AGAINST CHILDREN,6,20,6,16,14,19,13,34,31,57,53,53,54,70,80,92,79,75,122,270,330,256,230
Gujarat,TOTAL CRIMES AGAINST CHILDREN,312,327,397,389,389,317,329,572,710,665,799,836,977,1110,1074,968,1006,1131,1327,2076,3219,3729,3637
Haryana,TOTAL CRIMES AGAINST CHILDREN,159,131,143,184,227,211,237,363,235,287,164,374,462,325,269,353,303,280,1015,1640,2540,3388,3099
Himachal Pradesh,TOTAL CRIMES AGAINST CHILDREN,75,76,64,70,51,52,55,82,91,109,92,131,136,151,205,221,246,260,266,428,467,500,467
Jammu & Kashmir,TOTAL CRIMES AGAINST CHILDREN,5,13,21,6,24,22,20,28,42,49,35,57,85,26,10,18,17,25,40,75,211,312,222
Jharkhand,TOTAL CRIMES AGAINST CHILDREN,0,0,0,0,0,0,0,41,111,35,112,97,112,74,71,60,54,85,113,129,423,409,717
Karnataka,TOTAL CRIMES AGAINST CHILDREN,117,101,136,124,141,159,145,72,114,116,189,191,276,266,388,308,409,334,875,1353,3416,4267,4455
Kerala,TOTAL CRIMES AGAINST CHILDREN,77,117,160,184,191,140,176,247,406,179,361,386,553,487,549,587,596,1452,1324,1877,2391,2464,2879
Madhya Pradesh,TOTAL CRIMES AGAINST CHILDREN,1022,1164,1112,1243,1034,952,969,1425,2329,2662,3653,3721,3939,4290,4259,4646,4912,4383,5168,8247,15085,13083,13746
Maharashtra,TOTAL CRIMES AGAINST CHILDREN,999,1002,906,916,888,750,832,1621,1860,2001,2281,2305,2841,2707,2709,2894,3264,3362,3456,6410,8115,14480,14559
Manipur,TOTAL CRIMES AGAINST CHILDREN,1,4,8,5,7,4,0,0,0,36,31,20,54,49,89,72,73,87,104,123,137,120,134
Meghalaya,TOTAL CRIMES AGAINST CHILDREN,7,8,11,4,11,4,15,0,23,46,43,81,71,71,62,83,110,104,91,183,213,259,240
Mizoram,TOTAL CRIMES AGAINST CHILDREN,17,7,30,11,49,53,27,0,2,17,0,0,35,64,22,14,50,54,95,78,178,215,188
Nagaland,TOTAL CRIMES AGAINST CHILDREN,1,0,0,3,4,2,6,0,16,0,1,0,14,7,3,0,10,20,13,8,25,63,78
Odisha,TOTAL CRIMES AGAINST CHILDREN,127,119,101,155,153,149,137,68,56,140,129,86,154,201,141,194,194,315,418,1123,2196,2609,3286
Punjab,TOTAL CRIMES AGAINST CHILDREN,54,45,118,89,109,148,113,123,161,184,193,211,329,527,389,729,627,622,877,1336,1762,1899,1843
Rajasthan,TOTAL CRIMES AGAINST CHILDREN,236,174,177,201,208,214,173,218,204,240,403,580,951,1252,1223,1407,1318,1491,1807,2888,3880,4411,4034
Sikkim,TOTAL CRIMES AGAINST CHILDREN,4,3,5,6,2,4,6,5,6,15,8,25,35,31,24,40,29,29,30,39,93,67,110
Tamil Nadu,TOTAL CRIMES AGAINST CHILDREN,42,63,109,116,113,96,88,61,135,177,393,288,353,441,666,634,810,925,1036,1188,2354,2880,2856
Tripura,TOTAL CRIMES AGAINST CHILDREN,16,18,20,23,16,6,14,0,0,0,59,28,41,63,163,163,227,102,20,100,369,261,274
Uttar Pradesh,TOTAL CRIMES AGAINST CHILDREN,718,590,584,528,536,369,323,3709,1826,1702,1921,1801,1767,2248,4078,3085,2332,5500,6033,9857,14835,11462,16079
Uttarakhand,TOTAL CRIMES AGAINST CHILDREN,0,0,0,0,0,0,0,46,27,23,56,76,51,101,38,33,31,83,122,232,489,663,676
West Bengal,TOTAL CRIMES AGAINST CHILDREN,422,522,345,390,303,188,216,167,175,148,206,236,432,361,513,484,880,1450,1706,2530,4909,5083,7004
A&N Islands,TOTAL CRIMES AGAINST CHILDREN,1,1,4,7,5,5,4,0,3,6,14,8,9,10,47,41,51,31,28,54,50,104,86
Chandigarh,TOTAL CRIMES AGAINST CHILDREN,6,7,5,10,8,29,35,58,49,40,66,57,64,53,66,71,59,74,96,213,208,296,222
D&N Haveli,TOTAL CRIMES AGAINST CHILDREN,4,0,0,1,2,1,0,0,0,1,11,5,15,11,17,11,13,11,8,14,11,35,21
Daman & Diu,TOTAL CRIMES AGAINST CHILDREN,0,1,0,0,0,5,0,0,0,6,2,5,3,3,4,2,2,3,8,14,7,32,31
Delhi UT,TOTAL CRIMES AGAINST CHILDREN,361,203,293,338,358,403,426,912,697,516,766,1026,2160,2019,1854,2839,3630,4250,4462,7199,9350,10202,8178
Lakshadweep,TOTAL CRIMES AGAINST CHILDREN,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,5
Puducherry,TOTAL CRIMES AGAINST CHILDREN,8,6,3,4,4,2,4,5,17,5,12,8,25,23,26,21,16,15,32,47,38,57,71
INDIA,TOTAL CRIMES AGAINST CHILDREN,5813,5749,5582,5980,5788,4957,5023,10814,10469,11633,14423,14975,18967,20410,22500,24203,26694,33052,38172,58224,89423,98354,106958
